throughput,	act,	prepare,	76.5999869463336,	0.36891422273991986
throughput,	act,	pack,	76.43349455499104,	0.21113447594783602
throughput,	act,	ship,	76.59160053370447,	0.8515339349437204
throughput,	act,	display,	76.64767552566146,	0.951292547210763
throughput,	act,	cache,	229.79656491727476,	0.8310675857359247
throughput,	act,	internal,	218.41488070637368,	0.8311182884579206
throughput,	act,	external,	11.492759020124367,	0.13774255582838835
throughput,	entry,	think,	76.58450445612581,	0.07393822597597019
throughput,	entry,	save,	76.65827482564083,	0.2702676251016937
throughput,	entry,	notify,	76.64457944998165,	0.13706513659443778
throughput,	entry,	read,	87.8875667361569,	0.4560024140812899
throughput,	entry,	write,	76.59590903934027,	0.07257434565202131
throughput,	act,	write1,	76.73074705419579,	0.47519108876207455
throughput,	act,	write2,	76.59253808896887,	0.06326066052789851
throughput,	entry,	get,	76.49643447930671,	0.7722161490482525
throughput,	entry,	update,	76.67958445409381,	0.9212086510134715
throughput,	entry,	visit,	230.0402524682332,	0.6082520209595936
throughput,	entry,	buy,	76.65962831424083,	0.18264994694786907
throughput,	task,	Client,	76.58450445612581,	0.07393822597597019
throughput,	task,	Server,	460.00273505809656,	0.6529326522961775
throughput,	task,	FileServer,	164.48347577549714,	0.5177801274328534
throughput,	task,	Backup,	153.1760189334005,	1.1296158907143068
utilization,	proc,	PClient,	7.658450445613013,	0.007393822598358332
utilization,	proc,	PServer,	12.048989962171834,	0.005617115122125379
utilization,	proc,	PDisk,	5.551068127308182,	0.012820406986633249
utilization,	task,	Client,	19.999232962991478,	2.955624786821973E-6
utilization,	task,	Server,	11.540278381789184,	0.009976423497084216
utilization,	task,	FileServer,	5.561186050100533,	0.01282681448563997
utilization,	task,	Backup,	1.5348208583806588,	0.011297007322315127
proc utilization,	act,	prepare,	0.7659998694633361,	0.003689142227399232
proc utilization,	act,	pack,	2.2930048366497306,	0.006334034278435748
proc utilization,	act,	ship,	0.7659160053370446,	0.008515339349437259
proc utilization,	act,	display,	0.07664767552566146,	9.512925472107553E-4
proc utilization,	act,	cache,	0.22979656491727476,	8.310675857359146E-4
proc utilization,	act,	internal,	0.21841488070637366,	8.311182884578731E-4
proc utilization,	act,	external,	0.034478277060373104,	4.1322766748516627E-4
proc utilization,	act,	think,	7.658450445612771,	0.007393822596996799
proc utilization,	act,	save,	1.5331654965128168,	0.0054053525020342245
proc utilization,	act,	notify,	6.131566355998532,	0.010965210927554925
proc utilization,	act,	read,	0.8788756673615689,	0.004560024140813028
proc utilization,	entry,	write,	3.140432270612951,	0.0029755481717324526
proc utilization,	act,	write1,	0.07673074705419579,	4.7519108876206115E-4
proc utilization,	act,	write2,	3.063701523558755,	0.00253042642111615
proc utilization,	act,	get,	0.7649643447930672,	0.007722161490482555
proc utilization,	act,	update,	0.7667958445409382,	0.009212086510134807
response time,	entry,	think,	0.2611494603990719,	2.5209080402645133E-4
response time,	entry,	save,	0.021198981751982503,	2.6861134890774764E-5
response time,	entry,	notify,	0.08002029883923314,	2.402298508908576E-7
response time,	entry,	read,	0.01001934682578142,	2.2778873515666668E-7
response time,	entry,	write,	0.06110784196365143,	1.5684035836962813E-4
response time,	entry,	get,	0.010020038501153553,	2.0167863247555098E-7
response time,	entry,	update,	0.010019924885818095,	2.0227884749276608E-7
response time,	entry,	visit,	0.0026120938091498793,	1.0035319118408295E-5
response time,	entry,	buy,	0.04149764790717613,	1.1261804754910159E-4
response time,	task,	Client,	0.2611494603990719,	2.5209080402645133E-4
response time,	task,	Server,	0.02508741628198958,	3.070117509793268E-5
response time,	task,	FileServer,	0.033810018475090395,	8.555508185007567E-5
response time,	task,	Backup,	0.010019981498193156,	1.4332216305998851E-7
